entity_key;title;totalScore;reviewsCount;street;city;categoryName;text;sumber_anggota
bengkel motor usep_jl. jamaras iii jl. jatihandap no.117, rt.04/rw.02;BENGKEL MOTOR USEP;4.7;0.0;Jl. Jamaras III Jl. Jatihandap No.117, RT.04/RW.02;Kabupaten Bandung;Bengkel Sepeda Motor;;Rajif
bengkel mobil 24 jam bandung dahlan montir_stone garden resident cisaranten kulon no 11, rt.07/rw.05;BENGKEL MOBIL 24 JAM BANDUNG DAHLAN MONTIR;4.6;66.0;stone garden resident cisaranten kulon no 11, RT.07/RW.05;Kota Bandung;Bengkel Mobil;"hatur nuhun a Dahlan dan tim, dari taun 2019 menangani mobil tua saya, dari yang mogok tengah jalan malem-malem, sampai saya dateng ke bengkel, dengan izin Allah baru-baru ini berhasil menyelamatkan masalah idle up nissan sentra 1991 saya, terbaiks !! semangat a, semoga Allah mudahkan kedepannya punya bengkel yang besar dan barokah, aamiin . ||| Mobil lancar sampai tujuan....
Ontime sesuai target pengerjaan...
Barang yg perlu diganti selalu ada chanel meskipun tengah malam...
Terima kasih kang dahlan...
Recomend buat yg mengalami trobel di jalan...
Plesnya bisa jemput dimanapun.. ||| Baik dan ramah orangnya ||| Orangnya baik, pekerjaannya lumayan walau ga semuanya tuntas....tapi harga sparepartnya mengerikan...melebihi harga original di dealer resmi..saran saya yg mau kesini,beli dulu spare parttnya Dan yg bekas di ambil..byk praktek pertukaran part yg tdk baik..serious, klo bicara ttg agama,apapun agamanya praktek sprti ini tidak baik..tlg dirubah..ngeri lho adzabnya..semoga berubah..

Accord cm5 silver ||| bisa di panggil ke rumah, minta di checkin mobil karena masalah tenang aja disini udah paling gercep , pokonya langganankuuu, pokonya terbaik cekgur 👍👍";Rajif
bud_vaporblasting_50m sebelum kolam renang sawarga, jl. arcamanik, rt.03/rw.06;Bud_Vaporblasting;5.0;2.0;50m sebelum kolam renang sawarga, Jl. Arcamanik, RT.03/RW.06;Kota Bandung;Bengkel Sepeda Motor;;Rajif
bengkel spesialis mobil toyota & daihatsu bandung_jl. terusan sindang barang no.18;Bengkel Spesialis Mobil Toyota & Daihatsu Bandung;4.9;327.0;Jl. Terusan Sindang Barang No.18;Kota Bandung;Bengkel Mobil;"Luar biasa, pelayanan yang cepat, apik dan solutif. Ditambah keterbukaan sang Owner untuk memberikan Edukasi perawatan, serta memberikan beberapa opsi dalam melakukan perbaikan.

Mengutamakan diskusi dalam setiap kendala, tanpa mode getok harga . ||| Sebelum kesini sudah janjian via wa untuk tune up. Pas ke bengkel langsung di handle sama om nya dan jelasin sop pengerjaannya.  Om nya baik bgt buat jelasin semua ttg kondisi mobil kita. Kalo ada part yg harus diganti pasti dikonfirmasi dulu, om nya detail bgt pas ngejelasin part yg harus diganti. Beres di tune up mobil jadi lebih enakan lg, suara mesin jadi lebih halus. Pengerjaan tune up sekitar 2-3jam, harga tune up nya sangat ramah dompet. Ada tempat buat nunggu yg nyaman dan di sediain minuman. Sukses terus buat bengkelnya om! ||| Urusan bengkel buat mobil sendiri dan mobil-mobil sekeluarga selalu kesini. Dari service, ganti oli, benerin lampu, dll.  Ramah, informatif, harga bersahabat bgt. Langganan bertahun-tahun. Recommended!! ||| Awal mula ketemu bengkel kang ramly dari google. Ratingnya bagus. Akhirnya jauh-jauh dari kbp ke antapani buat benerin seal transmisi yaris yang bocor. Eh malah jadi servis dan ganti oli sekalian. Kang ramly cek komponen satu per satu tidak asal ganti, ramah dan enak diajak ngobrol tentang kerusakan kendaraan kita. Semoga sukses dan berkah terus untuk usahanya. ||| Bengkelnya rapih, mobil datang langsung dicek dan langsung ketemu solusinya. Akhirnya sekalian tune up dan general check, yg bukan hanya bersihkan sistem pembakaran dan gurah mesin, tp termasuk cek2 dan bersihin sistem pengereman jg. Dan yg pasti, harganya bersahabat. Oiya ada ruang tunggu jg, plus bonus kopi.  Terima kasih pak ramli dan tim, semoga tambah sukses";Rajif
bengkel mobil 24 jam area bandung kota_jl. cikadut no.18;Bengkel mobil 24 jam area bandung kota;4.7;0.0;Jl. Cikadut No.18;Kota Bandung;Bengkel Mobil;;Rajif
bengkel mustika motor_jl. jatihandap timur no.115;Bengkel Mustika Motor;3.7;3.0;Jl. Jatihandap Timur No.115;Kota Bandung;Bengkel Motor Skuter;NOTE RECOMENDED. PARAH. ABIS SERPIS MOTOR BERES TAPI NGACO. BODY JADI ANCUR MASANG NYA ASAL, KABEL SPEDO GA DIPASANG. ||| good;Rajif
bengkel motor porocot kepet_jl. jatihandap no.153;Bengkel Motor Porocot Kepet;4.2;5.0;Jl. Jatihandap No.153;Kota Bandung;Bengkel Sepeda Motor;"loba omong, hasil goreng patut ||| waktu itu betulin dan hasilnya emmang bagus ||| Ada yg komen jelek , ditelusuri ternyata pemilik komen memang sering komen jelek ditempat lain juga. . . .😁 ||| Lihay anjas montir na. . .keren pokona mah
Ladaa 👍👍👍👍 ||| Ramai";Rajif
ahass delima jaya_jl. padasuka;Ahass Delima Jaya;4.8;1363.0;Jl. Padasuka;Kota Bandung;Dealer Honda;"Kalo untuk servis sangat membantu dan memberikan solusi yang terbaik serta recomendasi banget. Untuk kenyamanan nya sangat amat nyaman karna disediakan air minum dan cemilan  👍 ||| lokasi strategis tempatnya bersih fasilitas oke mekanik handal , sangat rekomended buat sevice motor honda ||| Pelayanan baik. Customer service, front desk, dan teknisi ramah dan cepat (satset).
Ruang tunggu tidak AC tapi disediakan camilan dan minum gratis (teh, kopi, air mineral). Ada tempat charge hp jg.
Musholla dan toilet cukup bersih.
Waktu buka setiap hari jam 08.00-17.00 WIB. ||| Montir nya asik asik, ramah dan ga perlu  ragu untuk ke sini dijamin motornya bakalan enak dipakai lagi disini juga punya admin yang cantik dan ga kalah ramah, selain itu setiap yang perlu diganti selalu konfirmasi ke customer nya terlebih dahulu setelah di acc pasti langsung gerecep dikerjakan ga main bongkar bongkar tanpa persetujuan, dapat garansi 1 bulan juga loh guys sekaligus dapat voucher juga asik banget deh service kali ini ||| Pelayanan resepsionis ramah sekali, baru parkir langsung disamperin, ditanya keperluan, keluhan, ada tempat nunggu smoking dan non smoking, mushola,cuci motor gratis, bisa kuras angin ban dan isi nitrogen. Buka setiap hari 07:00 sd 18:00";Rajif
bengkel mobil 24jam bandung_jl. cikutra no.203;Bengkel mobil 24jam bandung;4.0;42.0;Jl. Cikutra No.203;Kota Bandung;Bengkel Mobil;"Kang Asep
MasyaAllah, di telfon langsung cuss…
analisa mantap…
kerja cepet, nagian2 lain juga di cek…
harga juga pas banget…

demi Allah saya tulis berdasarkan pengalaman pribadi, rem fortuner saya blong, dan sat set beliau langsung analisa dan perbaiki…

Semoga barokah dan berilimpah rezeki kang asep…
jangan lupa banyak bersyukur, insyaAllah semakin maju…

kapan2 kalau mampir bandung tinggal tune-up kebo… ||| Mantap, pekerjaan yg memuaskan kan, harga aman d kantong ||| terima kasih mobl saya di jln tiba biba ga ada tenaga nya,saya panggil kang asep langsung di priksa dan langsung kaditeksi permasalahan nya terima kasih pa asep ||| mahallll wkwkwk mending cari tmpt lain saja dari pada nyesal kepikiran seumur hidup ||| Tidak amanah,nembak harga semaunya kerja nya dilama lamain biar bisa dimahalin tidak rekomendasi
Ulasan sangat jujur jgn sampe ada korban ||| Kang Asep
MasyaAllah, di telfon langsung cuss…
analisa mantap…
kerja cepet, nagian2 lain juga di cek…
harga juga pas banget…

demi Allah saya tulis berdasarkan pengalaman pribadi, rem fortuner saya blong, dan sat set beliau langsung analisa dan perbaiki…

Semoga barokah dan berilimpah rezeki kang asep…
jangan lupa banyak bersyukur, insyaAllah semakin maju…

kapan2 kalau mampir bandung tinggal tune-up kebo… ||| Mantap, pekerjaan yg memuaskan kan, harga aman d kantong ||| terima kasih mobl saya di jln tiba biba ga ada tenaga nya,saya panggil kang asep langsung di priksa dan langsung kaditeksi permasalahan nya terima kasih pa asep ||| mahallll wkwkwk mending cari tmpt lain saja dari pada nyesal kepikiran seumur hidup ||| Tidak amanah,nembak harga semaunya kerja nya dilama lamain biar bisa dimahalin tidak rekomendasi
Ulasan sangat jujur jgn sampe ada korban";Rajif
bengkel mobil nonx auto bandung_jl. atput ii no.8 cicaheum;Bengkel Mobil Nonx Auto Bandung;4.8;45.0;Jl. Atput II no.8 cicaheum;Kota Bandung;Bengkel Mobil;Mantap, saya bikin mesin untuk kompetisi, alhamdulilah, piala satu lemari ||| Maaf kok kayak pada lagi belajar ya? Sill sampe putus segala, kecewa yg jagoan nya gak mau turun tangan.... ||| 👍👍👍 ||| Bagus sekali sesuai dengan perbaikan nya. ||| Mantap sangat memuaskan pas di kantong😁👍👍;Rajif
aldy motor_jl. padasuka no.34;Aldy Motor;3.3;18.0;Jl. Padasuka No.34;Kota Bandung;Bengkel Sepeda Motor;"Service kelistrikan lampu mio, 230 ribu. Bukan tentang nominal harga, Mending kalau bener mah . Ini baru sampe rumah mati total 🤣 ||| Service motor di sini malah makin rusak padahal udah keluar jutaan ||| pelayanan nya judes, kesitu mau nanya nanya dulu tapi jarudes ||| Service motornya bagus dapat dipercaya jd menyenangkan kalau service di tempat ini.. ||| Murah dan cepat
Nggak ngebohongin untuk soare part yg memang harus diganti.
Recomended";Rajif
bengkel motor yellow speed 46_jl. padasuka atas no.113;Bengkel Motor Yellow Speed 46;4.7;0.0;Jl. Padasuka Atas No.113;Kabupaten Bandung;Bengkel Sepeda Motor;;Rajif
rahma motor_jl. jatihandap no.71;Rahma Motor;3.0;2.0;Jl. Jatihandap No.71;Kabupaten Bandung;Bengkel Motor Skuter;Ok;Rajif
bengkel 114 solution_jl. cikadut no.6a;BENGKEL 114 SOLUTION;5.0;9.0;Jl. Cikadut No.6A;Kota Bandung;Bengkel Sepeda Motor;Pelayanan memuaskan ||| Luar biasa ||| Aaaaah mantaps ||| mantaps;Rajif
ate bengkel_jl. padasuka no.54, rw.07;Ate Bengkel;4.5;4.0;Jl. Padasuka No.54, RW.07;Kota Bandung;Bengkel Motor Elektrik;;Rajif
kyx variasi aksesoris motor trail & supermoto_jl. jatihandap timur no.108, rt.04/rw.07;KYX VARIASI Aksesoris Motor Trail & Supermoto;4.7;74.0;Jl. Jatihandap Timur No.108, RT.04/RW.07;Kota Bandung;Toko Suku Cadang Motor;Terima service bore up tune up dial buret porting dll ||| Apakah Punya Lampu Sen Royal Enfield Himayan? ||| Hanya lewat, karena okah raga pagi, belum sempat mampir ||| Recommended seller, melayani kebutuhan hobi trail ||| Ada apsedaown gak klx;Rajif
bengkel motor & aksesoris — berkah pit station_jl. padasuka atas no.123;Bengkel Motor & Aksesoris — Berkah Pit Station;4.0;5.0;Jl. Padasuka Atas No.123;Kota Bandung;Toko Suku Cadang Motor;servis cvt dikencengin pake impact ampe patah satu baut cvt nya, kapok service disini mekanik asal ||| Maaf kak mika sen depan beat 2019 ada? ||| Layanan mantap ||| servis cvt dikencengin pake impact ampe patah satu baut cvt nya, kapok service disini mekanik asal ||| Maaf kak mika sen depan beat 2019 ada? ||| Layanan mantap;Rajif
trixxie motor_jl. cikadut no.93/4, rt.01/rw.03;TRIXXIE Motor;4.9;26.0;Jl. Cikadut No.93/4, RT.01/RW.03;Kota Bandung;Bengkel Sepeda Motor;"Good pelayanan service terbaik di bandung timur recommended . Montir nya baik  ownernya baik .
Lancar teruss trixxie motor ||| Bengkel yg rekomended,biar pas mnding  ngbrol dlu ma owner ny biar tau spek yg d inginkan...service harian,bore up msin,up cvt harian ato lurusan...tinggal ad keberanian kta owner ny ....😂
The best choice👍 ||| Tempat service bore up motor terbaik ||| Pokoknya bengkel rumahan yg ramah, dan yg jelas motor bisa jemping jemping... hahahaha ||| Bengkel motor mantap... cuma sayang titik  lokasi nya ada yang memindah kan...";Rajif
